category,title,link,price,currency,slot
Iphone 15,Brother DCP-L3551CDW Wireless Color Laser Multi-function Printer,https://www.alifstores.com/brother-dcp-l3551cdw-wireless-color-laser-multi-function-printer.html,1299.00,QAR,Only 1 left
Iphone 15,HOCO A9 7 INCHES TABLET BLUE 2GB 32GB,https://www.alifstores.com/hoco-a9-7-inches-tablet-blue-2gb-32gb.html,169.00,QAR,
Iphone 15,"TAG Kids II Tablet 8"" FHD Quad-Core CPU, 2GB RAM, 32GB. Android 11.Sim Card slot",https://www.alifstores.com/tag-kids-ii-tablet-8-fhd-quad-core-cpu-2gb-ram-32gb-android-11-sim-card-slot.html,299.00,QAR,
Iphone 15,"Fire HD 6 Tablet ,6 inch HD Display ,Wi-Fi,Front and Rear Camera, 8 GB  - Cobalt Blue",https://www.alifstores.com/fire-hd-6-tablet-6-inch-hd-display-wi-fifront-and-rear-camera-8-gb-cobalt-blue.html,319.00,QAR,Only 1 left
Iphone 15,"Amazon Tablet Fire HD 8 8"" HD 10Th Generation  32Gb - Twilight Blue",https://www.alifstores.com/amazon-tablet-fire-hd-8-8-hd-10th-generation-3-gb-twilight-blue.html,345.00,QAR,Only 1 left
Iphone 15,HOCO A8 10.1 INCHES ANDROID TABLET SILVER 6 GB 12 GB,https://www.alifstores.com/hoco-a8-10-1-inches-android-tablet-silver-6-gb-12-gb.html,349.00,QAR,
Iphone 15,"Amazon Brand NEW Amazon Fire 7 Kids Pro 11th Gen 16GB Wi-Fi 7"" Sky Blue",https://www.alifstores.com/amazon-brand-new-amazon-fire-7-kids-pro-11th-gen-16gb-wi-fi-7-sky-blue.html,349.00,QAR,
Iphone 15,HOCO A8 10.1 INCHES ANDROID TABLET GRAY 6 GB 128 GB,https://www.alifstores.com/hoco-a8-10-1-inches-android-tablet-gray-6-gb-12-gb.html,349.00,QAR,
Iphone 15,Lenovo M10 HD - Tablet X306F 10.1in 32GB/2GB WiFi - Iron Grey,https://www.alifstores.com/lenovo-m10-hd-tablet-x306f-10-1in-3-gb-gb-wifi-iron-grey.html,379.00,QAR,Only 1 left
Iphone 15,"Amazon Fire 7 Kids Pro Tablet ages 6-12, 7in 16GB - Purple",https://www.alifstores.com/amazon-fire-7-kids-pro-tablet-ages-6-1-7in-16gb-purple.html,449.00,QAR,Only 2 left
Iphone 15,"Lenovo M8 - Tab 8505X, Iron Grey (8"" HD (1280x800) IPS 350nits, MediaTek Helio A22, 2.0Ghz, 3GB / 32 GB - Grey",https://www.alifstores.com/lenovo-m8-tab-8505x-iron-grey-8-hd-1-80x800-ips-350nits-mediatek-helio-a-0ghz-3gb-ram-1.html,499.00,QAR,Only 4 left
Iphone 15,"Lenovo M9 - Tab 310FU Grey 9 Inch, 3GB, 32GB 5100mAh (Clear Case + Film)",https://www.alifstores.com/lenovo-m9-tab-310fu-grey-9-hd-1340-800-mediatek-helio-g80-3gb-32gb-5100mah-clear-case-film.html,499.00,QAR,Only 2 left
Iphone 15,"Lenovo Tab X6C6X 4 GB, 64 GB 10 Black",https://www.alifstores.com/lenovo-tab-x6c6x-4-gb-64-gb-10-black.html,699.00,QAR,Only 2 left
Iphone 15,Samsung Galaxy Tab A8 WiFi 4GB 64GB Gray,https://www.alifstores.com/samsung-galaxy-tab-a8-wifi-4gb-64gb-gray.html,719.00,QAR,
